ducharse	🚿 洗淋浴；冲澡<br>例句：Voy a ducharme. 我要去洗澡<br>词源：ducha ← 法语 douche ← 拉丁 ducere（引导水流）<br>记忆：ducha=淋浴→ducharse=洗淋浴<br>英语：shower / take a shower
alegre	😊 快乐的；开朗的<br>例句：una persona alegre 一个开朗的人<br>词源：拉丁 alacer（活泼敏捷）<br>记忆：快乐有活力<br>英语：happy / cheerful
piso	👣 地板；楼层；公寓<br>例句：un piso de Madrid 马德里的一套公寓<br>词源：来自 pisar（踩踏）<br>记忆：脚踩的地方<br>英语：floor / apartment
fecha	📅 日期<br>例句：fecha de nacimiento 出生日期<br>词源：拉丁 facta（已完成的事）<br>记忆：日历上的日期<br>英语：date
extranjero	🌍 外国的；外国人<br>例句：un país extranjero 外国<br>词源：拉丁 extraneus（外来的）<br>记忆：外面的世界<br>英语：foreign / foreigner
soltero	🧍 单身的；未婚者<br>例句：estar soltero 单身<br>词源：拉丁 solutus（松开的、自由的）<br>记忆：自由状态<br>英语：single
gafas	👓 眼镜<br>例句：llevar gafas 戴眼镜<br>词源：阿拉伯语/方言，有争议<br>记忆：两片镜片<br>英语：glasses
pareja	👥 伴侣；一对；情侣<br>例句：mi pareja 我的伴侣<br>词源：拉丁 pariculus（相等一对）<br>记忆：成对出现<br>英语：partner / couple
merienda	☕ 下午点心；下午茶<br>例句：tomar la merienda 吃下午点心<br>词源：拉丁 merenda（下午餐）<br>记忆：下午补充能量<br>英语：afternoon snack
bocadillo	🥪 三明治；小吃<br>例句：bocadillo de jamón 火腿三明治<br>词源：来自 boca（嘴）<br>记忆：一口能吃的东西<br>英语：sandwich
horario	⏰ 时间表；工作时间；课程表<br>例句：horario de trabajo 工作时间<br>词源：拉丁 hora（小时）<br>记忆：时间安排<br>英语：schedule / timetable
arroba	📧 @符号<br>例句：arroba de correo 邮箱里的@<br>词源：阿拉伯 ar-rubʿ（四分之一）<br>记忆：邮箱小圈符号<br>英语：@ sign
ascensor	⬆️ 电梯<br>例句：subir en ascensor 坐电梯上楼<br>词源：拉丁 ascendere（上升）<br>记忆：向上升<br>英语：elevator / lift
garaje	🚗 车库<br>例句：aparcar en el garaje 停在车库<br>词源：法语 garage<br>记忆：停车的房间<br>英语：garage
armario	👔 衣柜；柜子<br>例句：armario de ropa 衣柜<br>词源：拉丁 armarium（储藏柜）<br>记忆：放东西的大柜子<br>英语：wardrobe / cabinet
estantería	📚 书架；架子<br>例句：una estantería llena de libros 摆满书的书架<br>词源：来自 estante（架子）<br>记忆：放书的架子<br>英语：shelf / bookcase
ducha	🚿 淋浴；淋浴器<br>例句：tomar una ducha 洗澡<br>词源：法语 douche<br>记忆：水流冲洗<br>英语：shower
garganta	🗣️ 喉咙；咽喉<br>例句：dolor de garganta 喉咙痛<br>词源：拉丁 gurges（喉）<br>记忆：说话吞咽的位置<br>英语：throat
oído	👂 耳朵；听觉<br>例句：tener buen oído 听力好<br>词源：来自 oír（拉丁 audire）<br>记忆：用来听的器官<br>英语：ear / hearing
afeitarse	🪒 刮胡子；剃毛<br>例句：afeitarse la barba 刮胡子<br>词源：来自 afeite（修饰）<br>记忆：刀片修整毛发<br>英语：shave
peinarse	💇 梳头<br>例句：peinarse el pelo 梳头<br>词源：来自 peine（梳子）<br>记忆：梳子整理头发<br>英语：comb one's hair
paraguas	☔ 雨伞<br>例句：llevar un paraguas 带伞<br>词源：para+aguas（挡水）<br>记忆：防水<br>英语：umbrella
socio	🤝 伙伴；合伙人；会员<br>例句：socio de una empresa 公司合伙人<br>词源：拉丁 socius（伙伴）<br>记忆：一起做事的人<br>英语：partner / member
infusión	🍵 冲泡饮品；浸泡液<br>例句：una infusión de manzanilla 洋甘菊茶<br>词源：拉丁 infundere（浸泡）<br>记忆：热水浸泡<br>英语：herbal tea / infusion
ajo	🧄 大蒜<br>例句：pan con ajo 蒜味面包<br>词源：拉丁 allium<br>记忆：蒜头<br>英语：garlic
cebolla	🧅 洋葱<br>例句：sopa de cebolla 洋葱汤<br>词源：拉丁 cepulla<br>记忆：一层一层剥开<br>英语：onion
perejil	🌿 欧芹；香菜类调味草<br>例句：perejil fresco 新鲜欧芹<br>词源：拉丁 petroselinum<br>记忆：绿色香草<br>英语：parsley
merluza	🐟 鳕鱼；无须鳕<br>例句：merluza al horno 烤鳕鱼<br>词源：拉丁相关鱼类名<br>记忆：白肉海鱼<br>英语：hake
sardina	🐟 沙丁鱼<br>例句：sardinas en lata 罐头沙丁鱼<br>词源：与撒丁岛 Sardinia 有关<br>记忆：小鱼罐头<br>英语：sardine
gambas	🦐 虾<br>例句：gambas al ajillo 蒜香虾<br>词源：拉丁 camba（腿）<br>记忆：西班牙海鲜<br>英语：prawns / shrimp
galletas	🍪 饼干<br>例句：galletas de chocolate 巧克力饼干<br>词源：法语 galette（薄饼）<br>记忆：小点心<br>英语：cookies / biscuits
cereales	🌾 谷物；麦片<br>例句：cereales con leche 牛奶麦片<br>词源：拉丁 Ceres（谷物女神）<br>记忆：谷物<br>英语：cereals / grains
receta	📖 食谱；处方<br>例句：receta de cocina 菜谱<br>词源：拉丁 recipere（接收）<br>记忆：做菜或治病的方法<br>英语：recipe / prescription
filete	🥩 肉片；牛排；鱼片<br>例句：filete de ternera 小牛排<br>词源：法语 filet<br>记忆：切好的肉片<br>英语：steak / fillet
aperitivo	🍷 开胃小吃；餐前酒<br>例句：tomar un aperitivo 吃点开胃小食<br>词源：拉丁 aperire（打开胃口）<br>记忆：开饭前的小东西<br>英语：appetizer / aperitif
servilleta	🍽️ 餐巾纸；餐巾<br>例句：una servilleta de papel 纸巾<br>词源：来自 siervo（仆人）<br>记忆：餐桌擦拭用品<br>英语：napkin
colegio	🏫 学校<br>例句：ir al colegio 上学<br>词源：拉丁 collegium（团体）<br>记忆：学习场所<br>英语：school
matrícula escolar	📝 学校注册；学籍登记<br>例句：hacer la matrícula 办理入学注册<br>词源：拉丁 matricula（名册）<br>记忆：登记入学<br>英语：school enrollment
hoja	🍃 叶子；纸张；页<br>例句：una hoja de papel 一张纸<br>词源：拉丁 folia（叶子）<br>记忆：叶子像纸张<br>英语：leaf / sheet / page
corbata	👔 领带<br>例句：llevar corbata 打领带<br>词源：法语 cravate（克罗地亚人）<br>记忆：西装配件<br>英语：tie
jubilado	🎉 退休的；退休人员<br>例句：un hombre jubilado 退休男性<br>词源：拉丁 iubilare（欢呼）<br>记忆：退休后的生活<br>英语：retired / pensioner
gimnasio	💪 健身房；体育馆<br>例句：ir al gimnasio 去健身房<br>词源：希腊 gymnasion（锻炼场所）<br>记忆：锻炼身体<br>英语：gym
ajedrez	♟️ 国际象棋<br>例句：jugar al ajedrez 下国际象棋<br>词源：阿拉伯 aš-šaṭranǧ<br>记忆：棋盘游戏<br>英语：chess
mandar	📩 命令；派遣；发送<br>例句：mandar un mensaje 发消息<br>词源：拉丁 mandare（委托）<br>记忆：发出指令<br>英语：order / send
alojamiento	🏨 住宿；住所<br>例句：buscar alojamiento 找住宿<br>词源：来自 alojar（安置）<br>记忆：旅行住处<br>英语：accommodation
chalé	🏡 独栋别墅<br>例句：un chalé con jardín 带花园的别墅<br>词源：法语 chalet<br>记忆：郊区别墅<br>英语：chalet / villa
suelo	👣 地面；地板；土壤<br>例句：el suelo de la casa 房子的地板<br>词源：拉丁 solum（地面）<br>记忆：脚踩的地方<br>英语：floor / ground / soil
amueblado	🪑 带家具的<br>例句：piso amueblado 带家具公寓<br>词源：来自 mueble（家具）<br>记忆：有家具<br>英语：furnished
nevera	❄️ 冰箱<br>例句：abrir la nevera 打开冰箱<br>词源：来自 nieve（雪）<br>记忆：保持冷<br>英语：fridge
lavadora	👕 洗衣机<br>例句：poner la lavadora 开洗衣机<br>词源：lavar+ -dora<br>记忆：洗衣工具<br>英语：washing machine
lavaplatos	🍽️ 洗碗机；洗碗池<br>例句：meter los platos en el lavaplatos<br>词源：lavar+platos<br>记忆：洗盘子的机器<br>英语：dishwasher
microondas	📡 微波炉<br>例句：calentar en el microondas 用微波炉加热<br>词源：micro+ondas（微波）<br>记忆：微小电磁波<br>英语：microwave
moneda	🪙 硬币；货币<br>例句：cambiar moneda 换钱<br>词源：拉丁 moneta（铸币厂）<br>记忆：钱币<br>英语：coin / currency
cajero	💳 收银员；提款机<br>例句：sacar dinero del cajero 从ATM取钱<br>词源：caja+ -ero<br>记忆：处理现金<br>英语：cashier / ATM
comisaría	👮 警察局<br>例句：ir a la comisaría 去警察局<br>词源：来自 comisario（警官）<br>记忆：警察办事地点<br>英语：police station
papelería	✏️ 文具店；纸品店<br>例句：comprar en la papelería 在文具店买东西<br>词源：papel+ -ería<br>记忆：纸和文具<br>英语：stationery shop
peluquería	💇 理发店<br>例句：ir a la peluquería 去理发店<br>词源：pelo+ -ería<br>记忆：剪头发的地方<br>英语：hairdresser / salon
frutería	🍎 水果店<br>词源：fruta+ -ería<br>记忆：买水果<br>英语：fruit shop
carnicería	🥩 肉店<br>词源：carne+ -ería<br>记忆：肉铺<br>英语：butcher shop
panadería	🍞 面包店<br>词源：pan+ -ería<br>记忆：面包店<br>英语：bakery
sujetador	支撑固定<br>胸罩<br>词源：sujetar（固定）<br>记忆：支撑固定<br>英语：bra
bragas	👙 女内裤<br>词源：拉丁 bracae（裤子）<br>记忆：内衣<br>英语：panties
calzoncillos	男士内裤<br>词源：calzón（短裤）<br>记忆：男士内裤<br>英语：underpants
calcetines	🧦 袜子<br>词源：calza（袜类）<br>记忆：脚部衣物<br>英语：socks
bañador	🏊 泳衣；泳裤<br>词源：bañar+ -dor<br>记忆：游泳装备<br>英语：swimsuit
probador	👕 试衣间；测试者<br>词源：probar（试）<br>记忆：试衣服<br>英语：fitting room
propina	💰 小费<br>例句：dejar propina 留小费<br>词源：希腊 propínein（赠送）<br>记忆：额外奖励<br>英语：tip
IVA	🧾 增值税<br>词源：Impuesto sobre el Valor Añadido 缩写<br>记忆：消费税<br>英语：VAT (value-added tax)
tos	😷 咳嗽<br>例句：tener tos 咳嗽<br>词源：拉丁拟声词<br>记忆：咳嗽声<br>英语：cough
cepillo	🪥 刷子；牙刷<br>例句：cepillo de dientes 牙刷<br>词源：cepa（柄）相关<br>记忆：刷东西<br>英语：brush
desodorante	🌿 除臭剂<br>词源：des-（去除）+olor（气味）<br>记忆：去掉臭味<br>英语：deodorant
ciclista	🚴 骑自行车的人<br>词源：ciclo（车轮）+ -ista<br>记忆：骑车的人<br>英语：cyclist
azafata	✈️ 空姐；女乘务员<br>词源：阿拉伯 as-safṭa（托盘）<br>记忆：飞机服务人员<br>英语：flight attendant
informático	💻 计算机的；IT人员<br>例句：ingeniero informático 计算机工程师<br>词源：informática（信息技术）<br>记忆：信息技术<br>英语：IT specialist
portátil	🎒 便携的；笔记本电脑<br>例句：ordenador portátil 笔记本电脑<br>词源：拉丁 portare（携带）<br>记忆：可以带走<br>英语：laptop / portable
cuello	🧣 脖子；衣领；颈部<br>例句：dolor de cuello 脖子疼<br>词源：拉丁 collum（颈部）<br>记忆：脖子和衣领<br>英语：neck / collar
