洗淋浴；冲澡	ducharse	🚿 洗淋浴；冲澡｜例句：Voy a ducharme. 我要去洗澡｜词源：ducha ← 法语 douche ← 拉丁 ducere（引导水流）｜记忆：ducha=淋浴→ducharse=洗淋浴
快乐的；开朗的	alegre	😊 快乐的；开朗的｜例句：una persona alegre 一个开朗的人｜词源：拉丁 alacer（活泼敏捷）｜记忆：快乐有活力
地板；楼层；公寓	piso	👣 地板；楼层；公寓｜例句：un piso de Madrid 马德里的一套公寓｜词源：来自 pisar（踩踏）｜记忆：脚踩的地方
日期	fecha	📅 日期｜例句：fecha de nacimiento 出生日期｜词源：拉丁 facta（已完成的事）｜记忆：日历上的日期
外国的；外国人	extranjero	🌍 外国的；外国人｜例句：un país extranjero 外国｜词源：拉丁 extraneus（外来的）｜记忆：外面的世界
单身的；未婚者	soltero	🧍 单身的；未婚者｜例句：estar soltero 单身｜词源：拉丁 solutus（松开的、自由的）｜记忆：自由状态
眼镜	gafas	👓 眼镜｜例句：llevar gafas 戴眼镜｜词源：阿拉伯语/方言，有争议｜记忆：两片镜片
伴侣；一对；情侣	pareja	👥 伴侣；一对；情侣｜例句：mi pareja 我的伴侣｜词源：拉丁 pariculus（相等一对）｜记忆：成对出现
下午点心；下午茶	merienda	☕ 下午点心；下午茶｜例句：tomar la merienda 吃下午点心｜词源：拉丁 merenda（下午餐）｜记忆：下午补充能量
三明治；小吃	bocadillo	🥪 三明治；小吃｜例句：bocadillo de jamón 火腿三明治｜词源：来自 boca（嘴）｜记忆：一口能吃的东西
时间表；工作时间；课程表	horario	⏰ 时间表；工作时间；课程表｜例句：horario de trabajo 工作时间｜词源：拉丁 hora（小时）｜记忆：时间安排
符号	arroba	📧 @符号｜例句：arroba de correo 邮箱里的@｜词源：阿拉伯 ar-rubʿ（四分之一）｜记忆：邮箱小圈符号
电梯	ascensor	⬆️ 电梯｜例句：subir en ascensor 坐电梯上楼｜词源：拉丁 ascendere（上升）｜记忆：向上升
车库	garaje	🚗 车库｜例句：aparcar en el garaje 停在车库｜词源：法语 garage｜记忆：停车的房间
衣柜；柜子	armario	👔 衣柜；柜子｜例句：armario de ropa 衣柜｜词源：拉丁 armarium（储藏柜）｜记忆：放东西的大柜子
书架；架子	estantería	📚 书架；架子｜例句：una estantería llena de libros 摆满书的书架｜词源：来自 estante（架子）｜记忆：放书的架子
淋浴；淋浴器	ducha	🚿 淋浴；淋浴器｜例句：tomar una ducha 洗澡｜词源：法语 douche｜记忆：水流冲洗
喉咙；咽喉	garganta	🗣️ 喉咙；咽喉｜例句：dolor de garganta 喉咙痛｜词源：拉丁 gurges（喉）｜记忆：说话吞咽的位置
耳朵；听觉	oído	👂 耳朵；听觉｜例句：tener buen oído 听力好｜词源：来自 oír（拉丁 audire）｜记忆：用来听的器官
刮胡子；剃毛	afeitarse	🪒 刮胡子；剃毛｜例句：afeitarse la barba 刮胡子｜词源：来自 afeite（修饰）｜记忆：刀片修整毛发
梳头	peinarse	💇 梳头｜例句：peinarse el pelo 梳头｜词源：来自 peine（梳子）｜记忆：梳子整理头发
雨伞	paraguas	☔ 雨伞｜例句：llevar un paraguas 带伞｜词源：para+aguas（挡水）｜记忆：防水
伙伴；合伙人；会员	socio	🤝 伙伴；合伙人；会员｜例句：socio de una empresa 公司合伙人｜词源：拉丁 socius（伙伴）｜记忆：一起做事的人
冲泡饮品；浸泡液	infusión	🍵 冲泡饮品；浸泡液｜例句：una infusión de manzanilla 洋甘菊茶｜词源：拉丁 infundere（浸泡）｜记忆：热水浸泡
大蒜	ajo	🧄 大蒜｜例句：pan con ajo 蒜味面包｜词源：拉丁 allium｜记忆：蒜头
洋葱	cebolla	🧅 洋葱｜例句：sopa de cebolla 洋葱汤｜词源：拉丁 cepulla｜记忆：一层一层剥开
欧芹；香菜类调味草	perejil	🌿 欧芹；香菜类调味草｜例句：perejil fresco 新鲜欧芹｜词源：拉丁 petroselinum｜记忆：绿色香草
鳕鱼；无须鳕	merluza	🐟 鳕鱼；无须鳕｜例句：merluza al horno 烤鳕鱼｜词源：拉丁相关鱼类名｜记忆：白肉海鱼
沙丁鱼	sardina	🐟 沙丁鱼｜例句：sardinas en lata 罐头沙丁鱼｜词源：与撒丁岛 Sardinia 有关｜记忆：小鱼罐头
虾	gambas	🦐 虾｜例句：gambas al ajillo 蒜香虾｜词源：拉丁 camba（腿）｜记忆：西班牙海鲜
饼干	galletas	🍪 饼干｜例句：galletas de chocolate 巧克力饼干｜词源：法语 galette（薄饼）｜记忆：小点心
