rechazar	❌ reject / refuse	释义：拒绝；驳回（动词）<br>核心：不接受某人、某物或某提议。<br>例：rechazar una oferta = 拒绝一个报价。<br>词源：re-（再次）+ echar（扔、赶走）。<br>记忆：❌ 推回去。
acudir	🏃 go to / attend	释义：前往；参加；求助于（动词）<br>核心：去某个地方，尤其正式场合。<br>例：acudir al médico = 去看医生。<br>词源：来自拉丁 accurrere（跑向）。<br>记忆：🏃 朝某处赶去。
consejo	💡 advice / council	释义：建议；委员会（阳性名词）<br>核心：建议，也指组织机构。<br>例：dar un consejo = 提建议。<br>词源：来自拉丁 consilium（意见、计划）。<br>记忆：💡 给别人方向。
viento	🌬️ wind	释义：风（阳性名词）<br>核心：空气流动。<br>例：hace mucho viento = 风很大。<br>词源：来自拉丁 ventus。<br>记忆：🌬️ 空气移动。
vencer	🏆 defeat / expire	释义：战胜；克服；到期（动词）<br>核心：赢过，也用于期限结束。<br>例：* vencer al enemigo = 战胜敌人<br>词源：来自拉丁 vincere（征服）。<br>记忆：🏆 赢过。
marchar	🚶 leave / march / work	释义：离开；行进；运行（动词）<br>核心：离开某地，也可表示机器运转。<br>例：* marcharse de casa = 离开家<br>词源：来自法语 marcher。<br>记忆：🚶 往前走。
ajeno	👤 other people's / foreign / alien	释义：别人的；陌生的；无关的（形容词）<br>核心：属于别人，不属于自己。<br>例：problemas ajenos = 别人的问题。<br>词源：来自拉丁 alienus（外国的、别人的）。<br>记忆：👤 不是自己的。
propósito	🎯 purpose	释义：目的；意图（阳性名词）<br>核心：想达到的目标。<br>例：con el propósito de mejorar = 为了改善。<br>词源：来自拉丁 proponere（提出）。<br>记忆：🎯 目标。
merecer	🏅 deserve	释义：值得；应得（动词）<br>核心：因行为获得某种结果。<br>例：merecer respeto = 值得尊重。<br>词源：来自拉丁 merescere。<br>记忆：🏅 配得上。
piedra	🪨 stone / rock	释义：石头（阴性名词）<br>核心：岩石、小石块。<br>例：una piedra grande = 大石头。<br>词源：来自拉丁 petra。<br>记忆：🪨 石头。
caer	⬇️ fall	释义：掉落；下降；发生（动词）<br>核心：从高处向下，也可表示喜欢/合适。<br>例：* caer al suelo = 掉到地上<br>词源：拉丁 cadere。<br>记忆：⬇️ 向下。
aparato	⚙️ device / apparatus	释义：设备；装置；器官系统（阳性名词）<br>核心：机器设备，也可指身体系统。<br>例：aparato digestivo = 消化系统。<br>词源：来自拉丁 apparatus（准备好的东西）。<br>记忆：⚙️ 装置。
permanecer	⏳ remain / stay	释义：保持；停留（动词）<br>核心：继续处于某状态。<br>例：permanecer tranquilo = 保持冷静。<br>词源：per-（持续）+ manere（停留）。<br>记忆：⏳ 留在那里。
saltar	🦘 jump	释义：跳；跳跃；爆发（动词）<br>核心：跳起来，也可表示突然发生。<br>例：* saltar una valla = 跳过围栏<br>词源：拉丁 saltare。<br>记忆：🦘 跳。
contestar	💬 answer / reply	释义：回答；回应（动词）<br>核心：对问题作答。<br>例：contestar una pregunta = 回答问题。<br>词源：con- + testari（证明）。<br>记忆：💬 回话。
moneda	🪙 coin / currency	释义：硬币；货币（阴性名词）<br>核心：钱币。<br>例：moneda extranjera = 外币。<br>词源：来自拉丁 moneta。<br>记忆：🪙 钱。
ejército	⚔️ army	释义：军队（阳性名词）<br>核心：国家军事力量。<br>例：el ejército español = 西班牙军队。<br>词源：来自拉丁 exercitus（训练、军队）。<br>记忆：⚔️ 武装力量。
entregar	🤲 deliver / hand in	释义：交付；递给；提交（动词）<br>核心：把东西交给别人。<br>例：entregar un documento = 提交文件。<br>词源：en- + entregar（给予）。<br>记忆：🤲 交出去。
manifestar	📢 express / manifest	释义：表达；表明；显示（动词）<br>核心：公开表达观点或状态。<br>例：manifestar una opinión = 表达观点。<br>词源：来自拉丁 manifestus（明显的）。<br>记忆：📢 让别人看见。
acaso	❓ perhaps / maybe	释义：也许；难道；偶然（副词）<br>核心：表示可能或疑问。<br>例：¿Acaso eres tú? = 难道是你？<br>词源：a + caso（情况）。<br>记忆：❓ 不确定。
entero	🧩 whole / entire	释义：完整的；整个的；整数的（形容词）<br>核心：没有缺少部分。<br>例：el día entero = 整整一天。<br>词源：来自拉丁 integer（未被触碰的、完整的）。<br>记忆：🧩 完整无缺。
apenas	📉 hardly / barely	释义：几乎不；刚刚；仅仅（副词）<br>核心：表示程度很低。<br>例：* Apenas tengo tiempo. = 我几乎没时间。<br>词源：a + penas（困难地）。<br>记忆：📉 少到几乎没有。
gasto	💸 expense / spending	释义：花费；支出（阳性名词）<br>核心：花出去的钱。<br>例：gastos de casa = 家庭开支。<br>词源：来自 gastar（花费）。<br>记忆：💸 钱出去。
suceder	➡️ happen / succeed	释义：发生；接替（动词）<br>核心：事情发生，也指职位继承。<br>例：* ¿Qué sucedió? = 发生了什么？<br>词源：拉丁 succedere（跟随而来）。<br>记忆：➡️ 接着发生。
caber	📦 fit	释义：容纳；装得下（动词）<br>核心：某物能进入某空间。<br>例：No cabe en la caja. = 它装不进箱子。<br>词源：来自拉丁 capere（抓住、容纳）。<br>记忆：📦 能不能放进去。
actual	🕒 current / present	释义：现在的；当前的（形容词）<br>核心：表示“目前的”。<br>例：la situación actual = 当前情况。<br>词源：来自拉丁 actualis（现实中的）。<br>记忆：🕒 现在。
prestar	🤲 lend / provide	释义：借出；提供；给予（动词）<br>核心：把东西暂时给别人。<br>例：* prestar dinero = 借钱给别人<br>词源：来自拉丁 praestare（提供）。<br>记忆：🤲 给出去。
siglo	📅 century	释义：世纪（阳性名词）<br>核心：一百年。<br>例：el siglo XXI = 21世纪。<br>词源：来自拉丁 saeculum（时代）。<br>记忆：📅 100年。
arrancar	🔑 pull out / start	释义：拔出；启动；突然开始（动词）<br>核心：从根部拉出，也用于机器启动。<br>例：* arrancar un árbol = 拔树<br>词源：来自日耳曼语。<br>记忆：🔑 强力启动。
escaso	📉 scarce / limited	释义：少的；不足的（形容词）<br>核心：数量不足。<br>例：recursos escasos = 稀缺资源。<br>词源：来自拉丁 excarpsus（取出的）。<br>记忆：📉 不够。
confundir	🔀 confuse	释义：混淆；弄错（动词）<br>核心：把两个东西搞混。<br>例：confundir nombres = 弄错名字。<br>词源：拉丁 confundere（混合）。<br>记忆：🔀 混在一起。
acontecimiento	📰 event / occurrence	释义：事件；重大事情（阳性名词）<br>核心：值得注意的事情。<br>例：un acontecimiento histórico = 历史事件。<br>词源：acontecer（发生）+ -miento。<br>记忆：📰 大事件。
rama	🌳 branch	释义：树枝；分支（阴性名词）<br>核心：植物枝条，也指学科分支。<br>例：* rama de árbol = 树枝<br>词源：来自拉丁 ramus。<br>记忆：🌳 分出去。
someter	⬇️ submit / subject	释义：使服从；提交（动词）<br>核心：控制别人，或把问题交给处理。<br>例：* someter a alguien = 使某人服从<br>词源：so-（下面）+ meter（放）。<br>记忆：⬇️ 放在控制之下。
plantear	💡 propose / raise	释义：提出；考虑；设想（动词）<br>核心：提出问题、方案。<br>例：plantear una pregunta = 提出问题。<br>词源：来自 planta（植物、基础）。<br>记忆：💡 把想法放出来。
