ducharse	🚿 shower / take a shower	例句：Voy a ducharme. 我要去洗澡<br>词源：ducha ← 法语 douche ← 拉丁 ducere（引导水流）<br>记忆：ducha=淋浴→ducharse=洗淋浴
alegre	😊 happy / cheerful	例句：una persona alegre 一个开朗的人<br>词源：拉丁 alacer（活泼敏捷）<br>记忆：快乐有活力
piso	👣 floor / apartment	例句：un piso de Madrid 马德里的一套公寓<br>词源：来自 pisar（踩踏）<br>记忆：脚踩的地方
fecha	📅 date	例句：fecha de nacimiento 出生日期<br>词源：拉丁 facta（已完成的事）<br>记忆：日历上的日期
extranjero	🌍 foreign / foreigner	例句：un país extranjero 外国<br>词源：拉丁 extraneus（外来的）<br>记忆：外面的世界
soltero	🧍 single	例句：estar soltero 单身<br>词源：拉丁 solutus（松开的、自由的）<br>记忆：自由状态
gafas	👓 glasses	例句：llevar gafas 戴眼镜<br>词源：阿拉伯语/方言，有争议<br>记忆：两片镜片
pareja	👥 partner / couple	例句：mi pareja 我的伴侣<br>词源：拉丁 pariculus（相等一对）<br>记忆：成对出现
merienda	☕ afternoon snack	例句：tomar la merienda 吃下午点心<br>词源：拉丁 merenda（下午餐）<br>记忆：下午补充能量
bocadillo	🥪 sandwich	例句：bocadillo de jamón 火腿三明治<br>词源：来自 boca（嘴）<br>记忆：一口能吃的东西
horario	⏰ schedule / timetable	例句：horario de trabajo 工作时间<br>词源：拉丁 hora（小时）<br>记忆：时间安排
arroba	📧 @ sign	例句：arroba de correo 邮箱里的@<br>词源：阿拉伯 ar-rubʿ（四分之一）<br>记忆：邮箱小圈符号
ascensor	⬆️ elevator / lift	例句：subir en ascensor 坐电梯上楼<br>词源：拉丁 ascendere（上升）<br>记忆：向上升
garaje	🚗 garage	例句：aparcar en el garaje 停在车库<br>词源：法语 garage<br>记忆：停车的房间
armario	👔 wardrobe / cabinet	例句：armario de ropa 衣柜<br>词源：拉丁 armarium（储藏柜）<br>记忆：放东西的大柜子
estantería	📚 shelf / bookcase	例句：una estantería llena de libros 摆满书的书架<br>词源：来自 estante（架子）<br>记忆：放书的架子
ducha	🚿 shower	例句：tomar una ducha 洗澡<br>词源：法语 douche<br>记忆：水流冲洗
garganta	🗣️ throat	例句：dolor de garganta 喉咙痛<br>词源：拉丁 gurges（喉）<br>记忆：说话吞咽的位置
oído	👂 ear / hearing	例句：tener buen oído 听力好<br>词源：来自 oír（拉丁 audire）<br>记忆：用来听的器官
afeitarse	🪒 shave	例句：afeitarse la barba 刮胡子<br>词源：来自 afeite（修饰）<br>记忆：刀片修整毛发
peinarse	💇 comb one's hair	例句：peinarse el pelo 梳头<br>词源：来自 peine（梳子）<br>记忆：梳子整理头发
paraguas	☔ umbrella	例句：llevar un paraguas 带伞<br>词源：para+aguas（挡水）<br>记忆：防水
socio	🤝 partner / member	例句：socio de una empresa 公司合伙人<br>词源：拉丁 socius（伙伴）<br>记忆：一起做事的人
infusión	🍵 herbal tea / infusion	例句：una infusión de manzanilla 洋甘菊茶<br>词源：拉丁 infundere（浸泡）<br>记忆：热水浸泡
ajo	🧄 garlic	例句：pan con ajo 蒜味面包<br>词源：拉丁 allium<br>记忆：蒜头
cebolla	🧅 onion	例句：sopa de cebolla 洋葱汤<br>词源：拉丁 cepulla<br>记忆：一层一层剥开
perejil	🌿 parsley	例句：perejil fresco 新鲜欧芹<br>词源：拉丁 petroselinum<br>记忆：绿色香草
merluza	🐟 hake	例句：merluza al horno 烤鳕鱼<br>词源：拉丁相关鱼类名<br>记忆：白肉海鱼
sardina	🐟 sardine	例句：sardinas en lata 罐头沙丁鱼<br>词源：与撒丁岛 Sardinia 有关<br>记忆：小鱼罐头
gambas	🦐 prawns / shrimp	例句：gambas al ajillo 蒜香虾<br>词源：拉丁 camba（腿）<br>记忆：西班牙海鲜
galletas	🍪 cookies / biscuits	例句：galletas de chocolate 巧克力饼干<br>词源：法语 galette（薄饼）<br>记忆：小点心
cereales	🌾 cereals / grains	例句：cereales con leche 牛奶麦片<br>词源：拉丁 Ceres（谷物女神）<br>记忆：谷物
receta	📖 recipe / prescription	例句：receta de cocina 菜谱<br>词源：拉丁 recipere（接收）<br>记忆：做菜或治病的方法
filete	🥩 steak / fillet	例句：filete de ternera 小牛排<br>词源：法语 filet<br>记忆：切好的肉片
aperitivo	🍷 appetizer / aperitif	例句：tomar un aperitivo 吃点开胃小食<br>词源：拉丁 aperire（打开胃口）<br>记忆：开饭前的小东西
servilleta	🍽️ napkin	例句：una servilleta de papel 纸巾<br>词源：来自 siervo（仆人）<br>记忆：餐桌擦拭用品
colegio	🏫 school	例句：ir al colegio 上学<br>词源：拉丁 collegium（团体）<br>记忆：学习场所
matrícula escolar	📝 school enrollment	例句：hacer la matrícula 办理入学注册<br>词源：拉丁 matricula（名册）<br>记忆：登记入学
hoja	🍃 leaf / sheet / page	例句：una hoja de papel 一张纸<br>词源：拉丁 folia（叶子）<br>记忆：叶子像纸张
corbata	👔 tie	例句：llevar corbata 打领带<br>词源：法语 cravate（克罗地亚人）<br>记忆：西装配件
jubilado	🎉 retired / pensioner	例句：un hombre jubilado 退休男性<br>词源：拉丁 iubilare（欢呼）<br>记忆：退休后的生活
gimnasio	💪 gym	例句：ir al gimnasio 去健身房<br>词源：希腊 gymnasion（锻炼场所）<br>记忆：锻炼身体
ajedrez	♟️ chess	例句：jugar al ajedrez 下国际象棋<br>词源：阿拉伯 aš-šaṭranǧ<br>记忆：棋盘游戏
mandar	📩 order / send	例句：mandar un mensaje 发消息<br>词源：拉丁 mandare（委托）<br>记忆：发出指令
alojamiento	🏨 accommodation	例句：buscar alojamiento 找住宿<br>词源：来自 alojar（安置）<br>记忆：旅行住处
chalé	🏡 chalet / villa	例句：un chalé con jardín 带花园的别墅<br>词源：法语 chalet<br>记忆：郊区别墅
suelo	👣 floor / ground / soil	例句：el suelo de la casa 房子的地板<br>词源：拉丁 solum（地面）<br>记忆：脚踩的地方
amueblado	🪑 furnished	例句：piso amueblado 带家具公寓<br>词源：来自 mueble（家具）<br>记忆：有家具
nevera	❄️ fridge	例句：abrir la nevera 打开冰箱<br>词源：来自 nieve（雪）<br>记忆：保持冷
lavadora	👕 washing machine	例句：poner la lavadora 开洗衣机<br>词源：lavar+ -dora<br>记忆：洗衣工具
lavaplatos	🍽️ dishwasher	例句：meter los platos en el lavaplatos<br>词源：lavar+platos<br>记忆：洗盘子的机器
microondas	📡 microwave	例句：calentar en el microondas 用微波炉加热<br>词源：micro+ondas（微波）<br>记忆：微小电磁波
moneda	🪙 coin / currency	例句：cambiar moneda 换钱<br>词源：拉丁 moneta（铸币厂）<br>记忆：钱币
cajero	💳 cashier / ATM	例句：sacar dinero del cajero 从ATM取钱<br>词源：caja+ -ero<br>记忆：处理现金
comisaría	👮 police station	例句：ir a la comisaría 去警察局<br>词源：来自 comisario（警官）<br>记忆：警察办事地点
papelería	✏️ stationery shop	例句：comprar en la papelería 在文具店买东西<br>词源：papel+ -ería<br>记忆：纸和文具
peluquería	💇 hairdresser / salon	例句：ir a la peluquería 去理发店<br>词源：pelo+ -ería<br>记忆：剪头发的地方
frutería	🍎 fruit shop	词源：fruta+ -ería<br>记忆：买水果
carnicería	🥩 butcher shop	词源：carne+ -ería<br>记忆：肉铺
panadería	🍞 bakery	词源：pan+ -ería<br>记忆：面包店
sujetador	bra	胸罩<br>词源：sujetar（固定）<br>记忆：支撑固定
bragas	👙 panties	词源：拉丁 bracae（裤子）<br>记忆：内衣
calzoncillos	underpants	词源：calzón（短裤）<br>记忆：男士内裤
calcetines	🧦 socks	词源：calza（袜类）<br>记忆：脚部衣物
bañador	🏊 swimsuit	词源：bañar+ -dor<br>记忆：游泳装备
probador	👕 fitting room	词源：probar（试）<br>记忆：试衣服
propina	💰 tip	例句：dejar propina 留小费<br>词源：希腊 propínein（赠送）<br>记忆：额外奖励
IVA	🧾 VAT (value-added tax)	词源：Impuesto sobre el Valor Añadido 缩写<br>记忆：消费税
tos	😷 cough	例句：tener tos 咳嗽<br>词源：拉丁拟声词<br>记忆：咳嗽声
cepillo	🪥 brush	例句：cepillo de dientes 牙刷<br>词源：cepa（柄）相关<br>记忆：刷东西
desodorante	🌿 deodorant	词源：des-（去除）+olor（气味）<br>记忆：去掉臭味
ciclista	🚴 cyclist	词源：ciclo（车轮）+ -ista<br>记忆：骑车的人
azafata	✈️ flight attendant	词源：阿拉伯 as-safṭa（托盘）<br>记忆：飞机服务人员
informático	💻 IT specialist	例句：ingeniero informático 计算机工程师<br>词源：informática（信息技术）<br>记忆：信息技术
portátil	🎒 laptop / portable	例句：ordenador portátil 笔记本电脑<br>词源：拉丁 portare（携带）<br>记忆：可以带走
cuello	🧣 neck / collar	例句：dolor de cuello 脖子疼<br>词源：拉丁 collum（颈部）<br>记忆：脖子和衣领
pecho	❤️ chest / breast	例句：dolor en el pecho 胸痛<br>词源：拉丁 pectus（胸膛）<br>记忆：心脏所在的位置
tobillo	🦶 ankle	例句：torcerse el tobillo 扭伤脚踝<br>词源：拉丁 tubellus（小管状物）<br>记忆：脚和腿连接处
mirada	👀 look / gaze	例句：una mirada triste 悲伤的眼神<br>词源：来自 mirar（看）<br>记忆：眼睛传递的信息
introvertido	🌱 introverted	例句：una persona introvertida 内向的人<br>词源：intro+vertere（转向）<br>记忆：能量向内
vago	😴 lazy / vague	例句：un estudiante vago 懒学生<br>词源：拉丁 vagus（漫游的）<br>记忆：不想行动
travieso	😈 naughty / mischievous	例句：un niño travieso 淘气的小孩<br>词源：与 través（穿过）有关<br>记忆：调皮捣蛋
arrogante	👑 arrogant	例句：un hombre arrogante 傲慢的人<br>词源：拉丁 arrogare（擅自占有）<br>记忆：过度自信
portarse	👤 behave	例句：portarse bien 表现好<br>词源：来自 portar（承担）<br>记忆：表现出来的行为
tratar	🤝 treat / deal with / try	例句：tratar bien a alguien 善待某人<br>词源：拉丁 tractare（处理）<br>记忆：怎么对待处理
varón	👨 male / man	例句：sexo varón 男性<br>词源：拉丁 varo（强壮男子）<br>记忆：男性
hembra	♀️ female	例句：una hembra de león 一头母狮<br>词源：拉丁 femina（女性）<br>记忆：雌性
burocracia	📄 bureaucracy	例句：demasiada burocracia 太多繁琐手续<br>词源：bureau+ kratos（权力）<br>记忆：文件流程
pendientes	✨ earrings / pending matters	例句：unos pendientes de oro 金耳环<br>词源：来自 pender（悬挂）<br>记忆：挂在耳朵上的东西
pulsera	⌚ bracelet	例句：una pulsera de plata 银手链<br>词源：来自 pulso（手腕）<br>记忆：手腕上的饰品
abrazarse	🤗 hug / embrace	例句：se abrazaron al verse 见面时拥抱<br>词源：来自 brazo（手臂）<br>记忆：用手臂抱住
besarse	💋 kiss	例句：besarse en la mejilla 亲吻脸颊<br>词源：拉丁 basium（吻）<br>记忆：亲吻
ligar	💘 flirt / hook up	例句：ligar con alguien 和某人搭讪<br>词源：拉丁 ligare（绑连接）<br>记忆：建立连接
calorías	🔥 calories	例句：contar calorías 计算卡路里<br>词源：拉丁 calor（热）<br>记忆：热量单位
borracho	🍷 drunk / drunkard	例句：estar borracho 喝醉了<br>词源：来自葡萄酒皮袋 bota 相关<br>记忆：酒精影响状态
resaca	🌊 hangover / aftermath	例句：tener resaca 宿醉<br>词源：海浪退去后的回流<br>记忆：退潮后的余波
marisco	🌊 seafood / shellfish	例句：marisco fresco 新鲜海鲜<br>词源：拉丁 mare（海）<br>记忆：海里的食物
embutido	🌭 cured sausage / cold cuts	例句：embutido español 西班牙腌肉制品<br>词源：来自 embutir（填入）<br>记忆：肉塞进肠衣
berenjena	🍆 eggplant / aubergine	词源：阿拉伯 bāḏinǧāna<br>记忆：紫色蔬菜
calabacín	🥒 zucchini / courgette	词源：来自 calabaza（南瓜）<br>记忆：小南瓜
espinacas	🥬 spinach	词源：阿拉伯 isfānāḫ<br>记忆：绿叶菜
guisantes	🟢 peas	词源：拉丁相关植物名<br>记忆：小绿豆
lentejas	🫘 lentils	词源：拉丁 lens lentis<br>记忆：豆类
judías	🫘 beans	例句：judías verdes 四季豆<br>词源：与 judío 同形来源<br>记忆：豆子
garbanzos	🫘 chickpeas	词源：古西班牙语<br>记忆：鹰嘴豆
bizcocho	🍰 sponge cake	词源：拉丁 bis coctus（烤两次）<br>记忆：松软蛋糕
magdalena	🧁 madeleine / cupcake	词源：法语 madeleine<br>记忆：早餐甜点
costilla	🥩 rib	例句：costillas de cerdo 猪排骨<br>词源：来自 costado（侧面）<br>记忆：排骨
chuleta	🥩 chop / cutlet	词源：法语 chuleta<br>记忆：带骨肉排
pechuga	🍗 breast (meat)	词源：来自 pecho（胸部）<br>记忆：鸡胸肉
solomillo	🥩 tenderloin / fillet	词源：solo+lomo（背部肉）<br>记忆：嫩肉部位
cáscara	🥚 shell / peel	例句：cáscara de huevo 蛋壳<br>词源：拉丁相关词<br>记忆：外面的壳
amargo	☕ bitter	例句：café amargo 苦咖啡<br>词源：拉丁 amarus<br>记忆：苦味
soso	😐 bland / tasteless	例句：La sopa está sosa. 汤很淡<br>词源：拉丁 salsus 演变<br>记忆：没味道
cocer	🍲 cook / boil	例句：cocer arroz 煮饭<br>词源：拉丁 coquere（煮）<br>记忆：水煮
asar	🔥 roast / grill	例句：asar carne 烤肉<br>词源：拉丁 assare<br>记忆：烤制
freír	🍟 fry	例句：freír patatas 炸土豆<br>词源：拉丁 frigere<br>记忆：油炸
condimentar	🧂 season	例句：condimentar la carne 给肉调味<br>词源：拉丁 condimentum（调味品）<br>记忆：加调料
aliñar	🥗 dress / season	例句：aliñar una ensalada 拌沙拉<br>词源：拉丁 lineare 演变<br>记忆：拌沙拉
quemarse	🔥 burn	例句：quemarse la mano 烫伤手<br>词源：拉丁 cremare<br>记忆：变热受伤
guardería	👶 nursery / daycare	词源：guardar+ -ería<br>记忆：看护孩子
beca	🎓 scholarship	例句：tener una beca 获得奖学金<br>词源：拉丁 beccus 相关<br>记忆：学费支持
carrera	🏃 race / career / degree	例句：estudiar una carrera 读大学专业<br>词源：来自 carro（车）<br>记忆：人生道路
folio	📄 sheet of paper / page	例句：un folio de papel 一张纸<br>词源：拉丁 folium（叶子）<br>记忆：像叶子一样的一页纸
sueldo	💰 salary / wage	例句：cobrar el sueldo 领取工资<br>词源：拉丁 solidus（古罗马金币）<br>记忆：工作换来的钱
huelga	✊ strike	例句：estar en huelga 罢工<br>词源：来自 holgar（休息）<br>记忆：停工抗议
bricolaje	🔨 DIY / home improvement	例句：hacer bricolaje 做DIY<br>词源：法语 bricolage<br>记忆：自己动手
asiento	🪑 seat	例句：tomar asiento 请坐<br>词源：来自 sentar（拉丁 sedere）<br>记忆：坐下的位置
fila	🚶 line / row / queue	例句：hacer fila 排队<br>词源：日耳曼语 fila（线队列）<br>记忆：一排人
árbitro	⚽ referee / umpire	例句：el árbitro del partido 比赛裁判<br>词源：拉丁 arbiter（仲裁者）<br>记忆：判定比赛
perdedor	❌ loser	例句：el equipo perdedor 输掉的队伍<br>词源：perder+ -dor<br>记忆：输掉的人
dado	🎲 die / dice	例句：tirar los dados 掷骰子<br>词源：拉丁 datum（投出的东西）<br>记忆：游戏骰子
ficha	🃏 token / card / record	例句：ficha de estudiante 学生档案卡<br>词源：法语 fiche<br>记忆：小卡片或棋子
locutor	🎙️ announcer / broadcaster	例句：locutor de radio 电台播音员<br>词源：拉丁 loqui（说话）<br>记忆：负责说话的人
capítulo	📖 chapter / episode	例句：el primer capítulo 第一章<br>词源：拉丁 capitulum（分段）<br>记忆：一部分内容
contraseña	🔑 password	例句：introducir la contraseña 输入密码<br>词源：contra+seña（标记）<br>记忆：进入系统的钥匙
mudanza	📦 move / relocation	例句：hacer una mudanza 搬家<br>词源：来自 mudar（改变）<br>记忆：改变住所
fregar	🧽 wash / scrub	例句：fregar los platos 洗盘子<br>词源：拉丁 fricare（摩擦）<br>记忆：摩擦清洁
barrer	🧹 sweep	例句：barrer el suelo 扫地<br>词源：拉丁 verrere（扫）<br>记忆：扫地
cortina	🪟 curtain	例句：cerrar la cortina 拉窗帘<br>词源：拉丁 cortina<br>记忆：窗边布
espejo	🪞 mirror	例句：mirarse en el espejo 照镜子<br>词源：拉丁 speculum<br>记忆：看见自己
congelador	❄️ freezer	词源：congelar+ -dor<br>记忆：冻起来
estropeado	⚠️ broken / damaged	例句：un móvil estropeado 坏掉的手机<br>词源：来自 estropear<br>记忆：出故障
buzón	📮 mailbox	例句：buzón de correo 邮箱<br>词源：与 buza（开口）相关<br>记忆：投信的箱子
ladrón	🥷 thief	例句：un ladrón de bancos 银行劫匪<br>词源：拉丁 latro（强盗）<br>记忆：偷东西的人
semáforo	🚦 traffic light	例句：cruzar cuando está verde 绿灯过马路<br>词源：希腊 sema+phoros<br>记忆：交通信号
lana	🐑 wool	例句：un jersey de lana 羊毛毛衣<br>词源：拉丁 lana<br>记忆：羊身上的毛
algodón	☁️ cotton	例句：camisa de algodón 棉衬衫<br>词源：阿拉伯 al-quṭn<br>记忆：柔软纤维
cuadros	🖼️ pictures / checks / squares	例句：camisa de cuadros 格子衬衫<br>词源：来自 cuadro（方形画）<br>记忆：方形图案
carrito	🛒 cart / trolley	例句：carrito de la compra 购物车<br>词源：carro+ -ito<br>记忆：小车
cesta	🧺 basket	例句：cesta de mimbre 柳条篮<br>词源：拉丁 cista（箱子篮子）<br>记忆：装东西的篮子
adelgazar	⚖️ lose weight / slim down	例句：quiero adelgazar 我想减肥<br>词源：来自 delgado（瘦的）<br>记忆：变瘦
tirita	🩹 plaster / band-aid	例句：ponerse una tirita 贴创可贴<br>词源：西班牙品牌名<br>记忆：小伤口保护
equipaje	🧳 luggage / baggage	例句：facturar el equipaje 托运行李<br>词源：法语 équipage<br>记忆：出行带的东西
